Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Total QMIs,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,QMI Incentive %age,QMI Incentive Amt.,QMI Incentive Type,To Be Built Incentive %age,To Be Built Incentive Amt.,To Be Built Incentive Type,Broker Incentive %age,Broker Incentive Amt.,Broker Incentive Type,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Survey Quarter,Annual Starts,Annual Closings,Quarterly Starts,Quarterly Closings,Excavation Count,Survey Stakes Count,Street Paving Count,Streets In Count,Vacant Developed Lot Count,Vacant Land Count,Under Construction Count,Finished Vacant Count,Models Count,Occupied Count,Future Inventory Count,VDL Months of Supply,Inventory Months of Supply,Finished Vacant Months of Supply,Profile Available,Active Adult,Zip Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001YjiBCAS,Esplanade at Turkey Creek/Classics,Taylor Morrison,,Active,,,Detached,Single-Family,4725,45,45'x105',4/24/2021,,243,155,88,,11/21/2025,2.79,1.33,1.5,1.83,1651,1933,1792,584999,624999,607665.67,11/21/2025,3.75,,Closing Cost w/ Preferred Lender,3.75,,Closing Cost w/ Preferred Lender,2,,Base Price,349,,,1.07,Mello Roos $233.00 per month,Active Adult,(916) 890-0905,https://www.taylormorrison.com/ca/sacramento/lincoln/esplanade-at-turkey-creek,,64ADA794-E32C-42E9-A9B5-8FA42FA5DB45,2025Q3,9,28,0,7,0,0,0,0,101,0,0,1,2,140,0,134.7,1.3,0.4,TRUE,Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.89153,-121.27753
aAf3x000001YjiGCAS,Esplanade at Turkey Creek/Premiers,Taylor Morrison,,Active,,,Detached,Single-Family,5775,55,55'x105',4/24/2021,,260,155,105,,11/21/2025,2.79,0.67,1.17,2.08,2157,2363,2262,672999,703999,689665.67,11/21/2025,3.75,,Closing Cost w/ Preferred Lender,,3.75,Closing Cost w/ Preferred Lender,2,,Base Price,349,,,1.07,Mello Roos $233.00 per month,Active Adult,(916) 890-0905,https://www.taylormorrison.com/ca/sacramento/lincoln/esplanade-at-turkey-creek,,502BE559-A18B-483C-AD4B-76F482FA5743,2025Q3,17,35,0,14,0,0,0,0,107,0,0,0,0,152,0,75.5,0,0,TRUE,Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.89153,-121.27753
aAf3x000001YjiLCAS,Esplanade at Turkey Creek/Estates,Taylor Morrison,,Active,,,Detached,Single-Family,6825,65,65'x105',4/24/2021,,175,142,33,,11/20/2025,2.56,2,1.67,2.25,2528,2985,2747,808999,878999,843999,11/20/2025,4.99,,Options/Upgrades,,,No Incentives Confirmed,2,,Base Price,349,,,1.07,Mello Roos $233.00 per month,Active Adult,(916) 890-0905,https://www.taylormorrison.com/ca/sacramento/lincoln/esplanade-at-turkey-creek,,FED9BEF8-2AAF-4C1D-9415-0D96D9B1CFBB,2025Q3,16,24,0,8,0,0,0,0,45,0,0,4,4,122,0,33.8,4,2,TRUE,Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.89153,-121.27753
aAf3x000001Yjl5CAC,Cresleigh Havenwood,Cresleigh Homes,,Active,,,Detached,Single-Family,5500,55,55x100,8/28/2021,,83,76,7,3,11/10/2025,1.49,1.33,0.83,1.42,2293,3377,2781,698500,783500,734750,11/10/2025,,,No Incentives Confirmed,,25000,Other,2.5,,Base Price,0,,,1.06,,,(916) 409-5595,https://cresleigh.com/havenwood/,,B42C8BEF-2A80-426E-B4FF-4C46F64A78B0,2025Q3,5,17,0,0,0,0,0,0,6,0,3,6,3,65,0,14.4,8.5,4.2,TRUE,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.90555,-121.27342
aAf3x000001YjnTCAS,Heritage Placer Vineyards/Lazio,Lennar,,Active,,,Detached,Single-Family,7500,75,75x100,7/10/2021,,390,222,168,,12/1/2025,4.16,3,3.83,3.58,1903,2423,2133,551990,621262,590632.8,12/1/2025,3.99,,Other,,5000,Closing Cost w/ Preferred Lender,,,Other,270,,,1.16,,Active Adult,(916) 580-6480,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55,,0F546955-7548-4ECD-BFB9-F8A77962C2E1,2025Q3,89,58,13,10,0,0,62,0,23,0,31,38,7,229,62,3.1,15.7,7.9,TRUE,Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.74553,-121.3674
aAf3x000001YjnUCAS,Heritage Placer Vineyards/Emilia,Lennar,,Active,,,Detached,Single-Family,7150,65,65x110,7/10/2021,,405,228,177,,12/1/2025,4.28,6.67,5.5,5.58,2400,2993,2680,631652,734990,605662.63,12/1/2025,3.99,,Other,,5000,Closing Cost w/ Preferred Lender,,,Other,270,,,1.16,,Active Adult,(916) 580-6480 /916-292-1,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55,,FE24E8CC-8C8A-4012-A6AC-B519C6EC5947,2025Q3,82,57,23,17,0,0,91,0,52,0,33,25,4,200,91,7.6,13.1,5.3,TRUE,Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.74612,-121.36746
aAf3x000001WY6nCAG,Seasons at Sierra Vista,Richmond American Homes,,Active,,,Detached,Single-Family,7500,75,75x100,2/20/2022,,143,135,8,6,11/14/2025,2.98,3.67,3.83,5.67,1730,2630,2090,568193,757521,615665.67,12/4/2025,4,,Closing Cost w/ Preferred Lender,,,No Incentives Confirmed,3,,Final Price,116.75,,,1.22,,Gated,(916) 472-7385,https://www.richmondamerican.com/c/32300000?ch=online&ls=inventory-site&ta=bdx&td=link&utm_source=bdx&utm_medium=inventory-site&utm_campaign=sac-sac-community,,9D2FD4F1-9D89-4415-832A-7D5C126D81E1,2025Q3,46,63,0,10,0,0,0,0,0,0,8,17,3,115,0,0,5.3,3.2,TRUE,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.76011,-121.38129
aAf3x000001WcPNCA0,Esplanade at Madeira Ranch,Taylor Morrison,,Active,,,Detached,Single-Family,4500,,45x100,10/7/2023,,606,115,491,16,12/8/2025,4.37,6.33,4.67,4.17,1522,2979,2239,514999,824999,673749,12/8/2025,,10000,Closing Cost w/ Preferred Lender,,10000,Closing Cost w/ Preferred Lender,2,,Base Price,350,,,1.05,,Active Adult,(916) 932-0959,https://www.taylormorrison.com/ca/sacramento/elk-grove/esplanade-at-madeira-ranch,,2A8BF056-2313-4BF1-A47C-3A8D43CB2732,2025Q3,67,54,19,17,315,0,0,0,166,0,31,11,7,76,315,29.7,10.9,2.4,TRUE,Active Adult,95842,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Zehnder Ranch Elementary,8,Elizabeth Pinkerton Middle School,8,Cosumnes Oaks High School,10,Laguna / Elk Grove,38.38459,-121.3915
aAf3x000001WdcmCAC,Wildhawk North/Bluestone,Taylor Morrison,,Active,,,Detached,Single-Family,3200,32,32x100,10/22/2022,,149,116,33,3,12/8/2025,3.05,3.33,2.83,2.92,1556,1778,1687,519999,538999,530749,12/8/2025,,25000,Closing Cost w/ Preferred Lender,,25000,Closing Cost w/ Preferred Lender,2,,Base Price,0,,,1.86,,,(916) 634-0975,https://www.taylormorrison.com/ca/sacramento/sacramento/bluestone-at-wildhawk-north,,7321AB93-6AC9-4DF9-8B42-83BA485351DE,2025Q3,58,31,12,21,0,0,0,0,37,0,23,4,2,84,0,7.7,11.2,1.5,TRUE,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.4819,-121.31615
aAf3x000001WdzQCAS,Ascent at Montelena,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,7200,72,72x100,5/7/2022,,127,106,21,3,10/24/2025,2.52,2.33,2.17,3.08,2526,2973,2783,625990,675990,654990,10/24/2025,,,Other,,,Other,2,,Base Price,0,,,1.49,N/A,,(916) 302-8760,https://www.pulte.com/homes/california/sacramento/rancho-cordova/ascent-at-montelena-210916,,23BEFF00-5B6D-45EE-9A7D-C252816420D5,2025Q3,38,47,12,5,0,0,0,0,15,0,18,3,4,87,0,4.7,6.4,0.8,TRUE,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55569,-121.232
aAf3x000001WeYqCAK,Saratoga Estates/Ponderosa,Elliott Homes,,Active,,,Detached,Single-Family,6000,60,60x100,4/1/2022,,56,46,10,12,12/10/2025,1.03,1.67,1.5,1.58,2437,3666,2945,939950,1090950,724565,12/10/2025,,,Other,,,No Incentives Confirmed,2,,Base Price,115,,,1.06,special tax assessment fees,Gated,(916) 936-5608,https://www.elliotthomes.com/communities/california/sacramento/ponderosa-at-saratoga-estates?utm_source=bdx&utm_medium=feed&utm_campaign=bdx&utm_content=ponderosa-at-saratoga-estates,,071BBF59-83F1-4C9D-ABD1-3F7598EDFF5E,2025Q3,0,16,0,2,0,0,0,0,0,0,0,15,0,41,0,,11.3,11.3,TRUE,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65453,-121.08207
aAf3x000001WfmoCAC,Hidden Ridge,Toll Brothers,,Active,,,Detached,Single-Family,9000,,75x120,5/15/2022,,90,88,2,,10/28/2025,2.1,0,0.67,1.33,3006,4022,3500,1004995,1299000,1176496.67,10/28/2025,3.49,,Closing Cost w/ Preferred Lender,,,No Incentives Confirmed,,15000,Flat,247,,,1.06,"1298/year.  tax rate is stacey's tentative estimate, may be significantly different come open date.",Gated,(530) 618-8899,https://www.tollbrothers.com/luxury-homes-for-sale/California/Hidden-Ridge,,E9CBD5A0-C6DB-40FB-8180-BD763975B05B,2025Q3,17,33,0,9,0,0,0,0,0,0,2,2,1,85,0,0,1.8,0.7,TRUE,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Rescue Union Elementary School District,Green Valley Elementary School,7,Pleasant Grove Middle School,6,Ponderosa High School,9,El Dorado Hills,38.67384,-121.02584
aAf3x000001WgRvCAK,Jubilee at Independence,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Detached,Single-Family,6000,60,60x100,4/20/2024,,90,49,41,5,11/19/2025,2.55,2.67,2.33,2.5,1752,2129,1934,565045,620898,589048.33,11/21/2025,3.75,,Other,,20000,Closing Cost w/ Preferred Lender,,10000,Flat,0,,,1.06,,,(916) 412-7557,https://www.tripointehomes.com/ca/sacramento/jubilee-at-independence/,,4AFE9D44-DA2A-4F7E-89B3-89F54C555085,2025Q3,21,29,7,4,0,0,0,0,31,0,7,10,2,40,0,17.7,7.9,4.1,TRUE,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Twelve Bridges Elementary School,7,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.86959,-121.27006
aAf3x000001Wi8XCAS,Long Meadow,Risewell Homes,,Active,,,Detached,Single-Family,4247,,,8/19/2023,,122,95,27,5,11/4/2025,3.54,1,3.33,3.17,2238,2769,2434,690000,737200,566886,12/11/2025,4.99,,Other,,,Other,3,,Other,28,,,1.25,,,(916) 458-5061 /916-461-8,https://risewellhomes.com/northern-california/sacramento-new-homes/neighborhoods/long-meadow,,AD8BF2BB-C8FA-48CD-8C74-DC52673B24F2,2025Q3,39,49,5,20,0,0,0,0,8,0,8,3,3,100,0,2.5,3.4,0.7,TRUE,Non Active Adult,95624,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Roy Herburger Elementary School,6,"Edward Harris, Jr. Middle School",6,Monterey Trail High School,7,Laguna / Elk Grove,38.43898,-121.39172
aAf3x000001WjVFCA0,Whitehawk,Anthem United,,Active,,,Detached,Single-Family,10000,100,100x100,3/17/2023,,55,47,8,,8/8/2025,1.62,1.67,1.17,0.83,2781,3733,3400,1414757,1696431,1604450.4,8/8/2025,,50000,Closing Cost w/ Preferred Lender,,,No Incentives Confirmed,3,,Base Price,315,,,1.05,Mello Roos $400 per month,,(916) 460-9674,https://anthemproperties.com/property/whitehawk/,,7CA364F9-026C-41EF-BB5D-BF5AB4E0CDB4,2025Q3,9,18,1,5,0,0,0,0,0,0,4,6,2,43,0,0,8,4,TRUE,Non Active Adult,95746,Granite Bay,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Eureka Union School District,Greenhills Elementary School; Ridgeview Elementary School,9; 8,Willma Cavitt Junior High School,9,Granite Bay High School,10,Auburn / Granite Bay,38.74375,-121.21074
aAf3x000001WnyKCAS,Magnolia,Tim Lewis Communities,,Active,,,Detached,Single-Family,43750,175,175x250,3/11/2023,,89,67,22,2,12/1/2025,2.02,2.67,1.67,2,3765,5104,4414,2044000,2435000,2245600,12/1/2025,,30000,Options/Upgrades,,10000,Options/Upgrades,,25000,Flat,304,,,1.09,,,(916) 787-3494 / 408-502-,https://www.timlewis.com/communities/magnolia-granite-bay/,,5BEEE214-4775-4172-8819-31E4AD627E68,2025Q3,26,32,3,10,0,0,0,0,24,0,13,5,2,45,0,11.1,7.5,1.9,TRUE,Non Active Adult,95746,Granite Bay,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Eureka Union School District,Greenhills Elementary School; Excelsior Elementary School,9; 7,Olympus Junior High School,9,Granite Bay High School,10,Auburn / Granite Bay,38.75256,-121.21506
aAf3x000001Wo6iCAC,Valley Oak/Parks,Risewell Homes,,Active,,,Detached,Single-Family,6150,,50x123,7/22/2023,,59,58,1,2,11/13/2025,2.07,0.67,1,2.17,2479,3371,3119,779295,975000,896012.5,11/13/2025,1.99,,Closing Cost w/ Preferred Lender,,,No Incentives Confirmed,2.5,,Final Price,0,,,1.07,Mello Roos $330 monthly,,(916) 633-0264,https://risewellhomes.com/northern-california/sacramento-new-homes/neighborhoods/the-parks-at-valley-oak,,E455CF1E-C252-487D-95A5-E9225B31A716,2025Q3,19,31,0,15,0,0,0,0,0,0,0,2,1,56,0,0,1.2,0.8,TRUE,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,Blue Oaks Elementary School,7,Robert C. Cooley Middle School,7,Oakmont High School,9,Roseville,38.78683,-121.32775
aAf3x000001WopqCAC,Laurel at Elliott Springs,Elliott Homes,,Active,,,Detached,Single-Family,5775,55,55X105,4/1/2023,,217,117,100,11,12/10/2025,3.58,3.33,3,3.25,1609,2498,2048,666950,796950,722950,12/10/2025,4.99,,Other,,,No Incentives Confirmed,1,,Base Price,0,,,1.05,,,(916) 994-0929,https://www.elliotthomes.com/communities/california/sacramento/laurel-at-elliott-springs?utm_source=bdx&utm_medium=feed&utm_campaign=bdx&utm_content=laurel-at-elliott-springs,,6B73E8DF-EABA-4FDD-B2F4-01F22F5BCBFD,2025Q3,51,52,0,5,0,0,0,0,85,0,18,12,4,98,0,20,7.8,2.8,TRUE,Non Active Adult,95624,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,James A. Mckee Elementary School,5,Joseph Kerr Middle School,7,Elk Grove High School,7,Laguna / Elk Grove,38.42661,-121.35345
aAf3x000001WpHGCA0,FOUR40 West,BlackPine Communities,,Active,,,Attached,Townhomes,,,,2/21/2025,,106,6,100,,11/4/2025,0.71,0.33,0.67,,1456,1989,1722,584990,674990,632490,11/4/2025,,,No Incentives Confirmed,,,No Incentives Confirmed,2,,Base Price,159,,,1.13,,Townhomes,(916) 276-1767,https://www.blackpinecommunities.com/communities/four-40-west/index,,C15FA096-A836-4F51-A3E2-6C7B3FABEB9B,2025Q3,16,3,0,3,0,0,0,0,87,0,4,9,3,3,0,65.3,64,36,TRUE,Non Active Adult,95818,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,William Land Elementary School,8,Miwok Middle,7,C. K. Mcclatchy High School,6,Pocket / Land Park,38.56598,-121.50571
